QueryId,DocumentId
10001,229
10001,70
10001,51
10001,252
10001,124
10001,63
10001,287
10001,147
10001,226
10001,164
10002,162
10002,79
10002,130
10002,159
10002,166
10002,71
10002,83
10002,40
10002,158
10002,100
10003,86
10003,70
10003,19
10003,106
10003,96
10003,68
10003,81
10003,67
10003,15
10003,141
10004,130
10004,59
10004,34
10004,52
10004,108
10004,13
10004,47
10004,53
10004,8
10004,69
10005,59
10005,72
10005,20
10005,80
10005,76
10005,64
10005,12
10005,63
10005,26
10005,42
10006,290
10006,265
10006,48
10006,191
10006,139
10006,175
10006,75
10006,78
10006,157
10006,286
10007,163
10007,46
10007,160
10007,29
10007,136
10007,72
10007,36
10007,133
10007,59
10007,145
10008,99
10008,88
10008,93
10008,133
10008,96
10008,47
10008,11
10008,36
10008,109
10008,141
10009,41
10009,53
10009,44
10009,94
10009,64
10009,95
10009,89
10009,104
10009,23
10009,101
10010,8
10010,68
10010,57
10010,6
10010,42
10010,113
10010,21
10010,29
10010,67
10010,37
10011,28
10011,46
10011,45
10011,31
10011,58
10011,18
10011,15
10011,1
10011,19
10011,44
10012,1
10012,54
10012,52
10012,3
10012,57
10012,6
10012,61
10012,44
10012,49
10012,46
10013,83
10013,47
10013,6
10013,138
10013,117
10013,95
10013,142
10013,148
10013,113
10013,16
10014,6
10014,44
10014,26
10014,4
10014,34
10014,50
10014,30
10014,31
10014,18
10014,15
10016,85
10016,20
10016,51
10016,101
10016,66
10016,79
10016,86
10016,53
10016,19
10016,90
10017,68
10017,156
10017,111
10017,165
10017,101
10017,109
10017,132
10017,41
10017,99
10017,32
10018,10
10018,16
10018,71
10018,1
10018,6
10018,64
10018,83
10018,76
10018,48
10018,77
10019,89
10019,150
10019,116
10019,11
10019,175
10019,151
10019,121
10019,124
10019,95
10019,35
10020,101
10020,13
10020,96
10020,57
10020,62
10020,115
10020,52
10020,86
10020,134
10020,17
10021,60
10021,36
10021,53
10021,62
10021,83
10021,101
10021,92
10021,107
10021,115
10021,104
10022,66
10022,31
10022,43
10022,53
10022,56
10022,57
10022,2
10022,41
10022,47
10022,68
10023,57
10023,72
10023,87
10023,90
10023,54
10023,18
10023,60
10023,12
10023,31
10023,91
