QueryId,DocumentId
10001,70
10001,51
10001,147
10001,164
10001,63
10001,124
10001,287
10001,251
10001,153
10001,113
10002,162
10002,83
10002,40
10002,79
10002,71
10002,166
10002,130
10002,159
10002,135
10002,158
10003,86
10003,38
10003,70
10003,158
10003,39
10003,87
10003,37
10003,85
10003,141
10003,140
10004,130
10004,59
10004,52
10004,108
10004,34
10004,8
10004,13
10004,47
10004,53
10004,32
10005,59
10005,76
10005,31
10005,72
10005,80
10005,20
10005,64
10005,12
10005,74
10005,38
10006,290
10006,265
10006,1
10006,101
10006,253
10006,52
10006,9
10006,93
10006,34
10006,191
10007,163
10007,133
10007,72
10007,136
10007,46
10007,39
10007,29
10007,141
10007,18
10007,160
10008,99
10008,11
10008,88
10008,40
10008,65
10008,113
10008,96
10008,52
10008,67
10008,131
10009,41
10009,89
10009,53
10009,94
10009,60
10009,64
10009,42
10009,23
10009,51
10009,95
10010,57
10010,6
10010,54
10010,8
10010,42
10010,113
10010,68
10010,29
10010,48
10010,3
10011,28
10011,46
10011,45
10011,58
10011,31
10011,18
10011,15
10011,19
10011,44
10011,53
10012,1
10012,52
10012,54
10012,60
10012,57
10012,61
10012,3
10012,44
10012,9
10012,46
10013,83
10013,138
10013,47
10013,6
10013,117
10013,142
10013,139
10013,148
10013,113
10013,95
10014,6
10014,44
10014,26
10014,4
10014,34
10014,30
10014,50
10014,15
10014,19
10014,31
10016,85
10016,86
10016,20
10016,51
10016,27
10016,66
10016,73
10016,26
10016,92
10016,38
10017,165
10017,101
10017,156
10017,111
10017,60
10017,99
10017,38
10017,147
10017,132
10017,32
10018,71
10018,10
10018,1
10018,48
10018,16
10018,83
10018,6
10018,8
10018,76
10018,64
10019,89
10019,35
10019,11
10019,15
10019,54
10019,150
10019,121
10019,175
10019,124
10019,116
10020,13
10020,62
10020,115
10020,110
10020,57
10020,101
10020,21
10020,96
10020,52
10020,17
10021,36
10021,101
10021,60
10021,62
10021,68
10021,95
10021,76
10021,72
10021,67
10021,63
10022,31
10022,66
10022,53
10022,41
10022,68
10022,2
10022,57
10022,43
10022,8
10022,47
10023,57
10023,12
10023,84
10023,87
10023,90
10023,54
10023,72
10023,18
10023,60
10023,31
10024,80
10024,25
10024,19
10024,58
10024,8
10024,48
10024,62
10024,68
10024,87
10024,64
10025,40
10025,35
10025,73
10025,59
10025,81
10025,84
10025,2
10025,15
10025,46
10025,53
10026,112
10026,126
10026,167
10026,138
10026,122
10026,31
10026,137
10026,103
10026,18
10026,35
10027,99
10027,20
10027,64
10027,88
10027,12
10027,105
10027,72
10027,28
10027,80
10027,84
10028,72
10028,52
10028,19
10028,22
10028,38
10028,28
10028,17
10028,55
10028,44
10028,67
10029,110
10029,32
10029,116
10029,49
10029,55
10029,62
10029,105
10029,79
10029,70
10029,57
10030,27
10030,95
10030,49
10030,30
10030,139
10030,85
10030,103
10030,99
10030,48
10030,60
10031,107
10031,19
10031,41
10031,7
10031,108
10031,100
10031,114
10031,17
10031,23
10031,88
10032,25
10032,23
10032,30
10032,15
10032,72
10032,76
10032,21
10032,6
10032,49
10032,97
10033,51
10033,12
10033,7
10033,127
10033,90
10033,124
10033,27
10033,19
10033,123
10033,142
10034,21
10034,117
10034,88
10034,116
10034,99
10034,91
10034,33
10034,1
10034,67
10034,115
10035,11
10035,2
10035,50
10035,41
10035,10
10035,49
10035,31
10035,25
10035,37
10035,21
10037,121
10037,19
10037,15
10037,43
10037,158
10037,77
10037,105
10037,140
10037,95
10037,6
10038,22
10038,61
10038,34
10038,50
10038,49
10038,37
10038,31
10038,56
10038,39
10038,41
